"Year","Constituency","NA_Code","Province","District","Division","Party","Candidate_Name_Raw","Regions_11","Regions_12","Regions_5","Registered_Voters","Rejected_Votes","Six_Parties","Turnout_N","Zones_20","Votes","Has_Candidate_Name","Party_Original","Candidate_Original","Candidate_Name","Candidate_ID"
2008,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","ANP","Haji Ghulam Ahmad Bilour","Peshawar Valley","Peshawar Valley","KPK",387083,629,"Province Parties",22.98060106,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",44210,TRUE,"ANP","Haji Ghulam Ahmad Bilour","Haji Ghulam Ahmad Bilour","Haji_Ghulam_Ahmad_Bilour"
2008,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","AHTP","Jawad Aziz","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Other Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",247,TRUE,"Awami Himayat Tehreek Pakistan","Jawad Aziz","Jawad Aziz","Jawad_Aziz"
2008,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","MQM","Muhammad Zunbair Anjum","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Province Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",151,TRUE,"MQM","Muhammad Zunbair Anjum","Muhammad Zunbair Anjum","Muhammad_Zunbair_Anjum"
2008,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","MMA","Haji Abdul Jalil Jan","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Religious Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",4103,TRUE,"Muttahidda Majlis-e-Amal Pakistan","Haji Abdul Jalil Jan","Haji Abdul Jalil Jan","Haji_Abdul_Jalil_Jan"
2008,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","PPP","Kakagi Muhammad Zahoor","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"PPP (s)/PDA",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",232,TRUE,"Pakistan Peoples Party (Shaheed Bhutto)","Kakagi Muhammad Zahoor","Kakagi Muhammad Zahoor","Kakagi_Muhammad_Zahoor"
2008,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","PPP","Ayub Shah","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"PPP (s)/PDA",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",37682,TRUE,"PPP","Ayub Shah","Ayub Shah","Ayub_Shah"
2008,"NA-10 - Mardan","NA-10","KPK","Mardan","Mardan","ANP","Mohammad Farooq Khan","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Province Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",21115,TRUE,"ANP","Mohammad Farooq Khan","Mohammad Farooq Khan","Mohammad_Farooq_Khan"
2008,"NA-10 - Mardan","NA-10","KPK","Mardan","Mardan","AHTP","Tahir Iqbal","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Other Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",1732,TRUE,"Awami Himayat Tehreek Pakistan","Tahir Iqbal","Tahir Iqbal","Tahir_Iqbal"
2008,"NA-10 - Mardan","NA-10","KPK","Mardan","Mardan","MQM","Zair Ullah Khan","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Province Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",201,TRUE,"MQM","Zair Ullah Khan","Zair Ullah Khan","Zair_Ullah_Khan"
2008,"NA-10 - Mardan","NA-10","KPK","Mardan","Mardan","MMA","Maulana Mohammad Qasim","Peshawar Valley","Peshawar Valley","KPK",255201,2928,"Religious Parties",37.95400488,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",29279,TRUE,"Muttahidda Majlis-e-Amal Pakistan","Maulana Mohammad Qasim","Maulana Mohammad Qasim","Maulana_Mohammad_Qasim"
2008,"NA-10 - Mardan","NA-10","KPK","Mardan","Mardan","Pakistan Muslim League","Naseem Muhammad Khan","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"PML (s)/IJI/PNA",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",6774,TRUE,"Pakistan Muslim League","Naseem Muhammad Khan","Naseem Muhammad Khan","Naseem_Muhammad_Khan"
2008,"NA-10 - Mardan","NA-10","KPK","Mardan","Mardan","PPP","Jalal Khan Khattak","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"PPP (s)/PDA",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",6012,TRUE,"Pakistan Peoples Party (Sherpao)","Jalal Khan Khattak","Jalal Khan Khattak","Jalal_Khan_Khattak"
