"Degree","Count"
0,88
1,21
2,18
3,5
4,5
5,4
6,11
7,2
8,2
9,1
11,2
12,2
14,1
15,2
16,1
19,1
22,2
24,1
26,1
27,1
28,1
29,1
31,1
33,1
