"Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Eccentricity"
"National Peoples Party",1,0,0.263610315186246,0.0116016782295938,0.00296400780746252,6
"NDM",1,0,0.2875,0.0619081982489165,0.00252158841355262,5
"NP",3,0,0.334545454545455,0.188404900814339,0.00469932753373809,5
"PAAM",0,0,NA,0,0.00138504155125364,0
"Pak Justice Party",0,0,NA,0,0.00138504155125364,0
"Pak Muslim Alliance",0,0,NA,0,0.00138504155125364,0
"Pak Wattan Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Aman Party",1,0,0.290220820189274,0.0687985330109275,0.00245711888693117,6
"Pakistan Awami Party",1,0,0.235897435897436,0.00942293555600412,0.00316508323299664,7
"Pakistan Bachao Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Brohi Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Citizen Movement",3,0,0.353846153846154,0.16305858669477,0.00465134696408596,5
"Pakistan Conservative Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Democratic party",0,0,NA,0,0.00138504155125364,0
"Pakistan Falah Party",2,91,0.292993630573248,0.0576253914858569,0.00585280259361438,6
"Pakistan Freedom Party",2,0,0.321678321678322,0.061807776421463,0.00370536631812522,5
"Pakistan Gharib Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Human Rights Party",2,0,0.343283582089552,0.13486826835765,0.00364322894990469,5
"Pakistan Insani Haqook Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Islami Justice Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Ittehad Tehreek",0,0,NA,0,0.00138504155125364,0
"Pakistan Justice Party",5,0,0.403508771929825,0.273519021160077,0.00687749237387135,4
"Pakistan Kissan Ittehad",0,0,NA,0,0.00138504155125364,0
"Pakistan Muhafiz Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Muhafiz Watan Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Muhajir League",0,0,NA,0,0.00138504155125364,0
"Pakistan Muhammadi Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Muslim League",12,371.199536344526,0.393162393162393,0.446544431858803,0.0190231890744756,5
"Pakistan Muslim League-Muttahida",0,0,NA,0,0.00138504155125364,0
"Pakistan Muslim League (F)",6,18.7167174346122,0.330935251798561,0.243355266930323,0.00891155186740628,5
"Pakistan Muslim League (J)",2,0,0.321678321678322,0.106799911121728,0.00360321858516642,5
"Pakistan Muslim League (Safdar)",0,0,NA,0,0.00138504155125364,0
"Pakistan Muslim League (Sher-e-Bangal) A.K. Fazal-Ul-",0,0,NA,0,0.00138504155125364,0
"Pakistan Muslim League (Zehri Group)",0,0,NA,0,0.00138504155125364,0
"Pakistan Muslim League “H” Haqiqi",0,0,NA,0,0.00138504155125364,0
"Pakistan Muslim League Council",0,0,NA,0,0.00138504155125364,0
"Pakistan Muslim League(Z)",2,91,0.284829721362229,0.030867706039743,0.00612102193751613,6
"Pakistan Qaumi League",0,0,NA,0,0.00138504155125364,0
"Pakistan Qaumi Party",0,0,NA,0,0.00138504155125364,0
"Pakistan Saraiki Party",1,0,0.259154929577465,0.00919989466482082,0.00316934896013229,6
"Pakistan Sunni Tehreek",12,47.1375118998648,0.440191387559809,0.533347515334111,0.0152117772919335,4
"Pakistan Tehrek-e-Inqalab",0,0,NA,0,0.00138504155125364,0
"PAL",2,0,0.312925170068027,0.127143929014089,0.00364370444399439,5
"PAP",0,0,NA,0,0.00138504155125364,0
"PAQ",0,0,NA,0,0.00138504155125364,0
"Pasban Pakistan",0,0,NA,0,0.00138504155125364,0
"PAT",10,119.804311065611,0.391489361702128,0.385688826361838,0.0144101611792229,4
"PCP",0,0,NA,0,0.00138504155125364,0
"PDQM",0,0,NA,0,0.00138504155125364,0
"PFM",0,0,NA,0,0.00138504155125364,0
"PFP",0,0,NA,0,0.00138504155125364,0
"PI-P",0,0,NA,0,0.00138504155125364,0
"PIRP",1,0,0.22716049382716,0.00396454239840736,0.00387248265353649,7
"PKI",0,0,NA,0,0.00138504155125364,0
"PKMAP",9,177.284959484959,0.412556053811659,0.273313438745177,0.0142992775783083,4
