"ID","Name","Type","Num_Parties","Is_Switcher"
"Saradar_Sikandar_Hayat_Khan_Goopang","Saradar Sikandar Hayat Khan Goopang","Candidate",1,FALSE
"Sardar_Ghulam_Mustafa","Sardar Ghulam Mustafa","Candidate",2,TRUE
"Sardar_Ghulam_Mustafa_Khaskheli","Sardar Ghulam Mustafa Khaskheli","Candidate",3,TRUE
"Sarmir_Khan","Sarmir Khan","Candidate",1,FALSE
"Shafiur_Rahman","Shafiur Rahman","Candidate",1,FALSE
"Shaheen_Munawer","Shaheen Munawer","Candidate",1,FALSE
"Shoaib_Khaskhali","Shoaib Khaskhali","Candidate",1,FALSE
"Syed_Adnan_Haider_Jafri","Syed Adnan Haider Jafri","Candidate",1,FALSE
"Syed_Ali_Abbas_Kazmi","Syed Ali Abbas Kazmi","Candidate",1,FALSE
"Syed_Imran_Sultan","Syed Imran Sultan","Candidate",1,FALSE
"Syed_Marghoob_Hussain_Abdi","Syed Marghoob Hussain Abdi","Candidate",1,FALSE
"Syed_Mukhtar_Hussain_Shah","Syed Mukhtar Hussain Shah","Candidate",2,TRUE
"Syed_Naveed_Ali_Shah","Syed Naveed Ali Shah","Candidate",2,TRUE
"Syed_Sajjad_Hussain_Shah_Kazmi","Syed Sajjad Hussain Shah Kazmi","Candidate",1,FALSE
"Syed_Zakir_Shah","Syed Zakir Shah","Candidate",1,FALSE
"Tayyaba_Zameer","Tayyaba Zameer","Candidate",1,FALSE
"Waheed_Ahmad","Waheed Ahmad","Candidate",2,TRUE
"Waheed_Depal","Waheed Depal","Candidate",1,FALSE
"Waseem_Akhter_Raja","Waseem Akhter Raja","Candidate",1,FALSE
"Yar_Badshah","Yar Badshah","Candidate",1,FALSE
"Mian_Saghir_Ahmed_Malvi","Mian Saghir Ahmed Malvi","Candidate",1,FALSE
"Muhammad_Naseem_Sadiq","Muhammad Naseem Sadiq","Candidate",1,FALSE
"Sheikh_Rasheed_Ahmed","Sheikh Rasheed Ahmed","Candidate",2,TRUE
"Sheikh_Rashid_Shafiq","Sheikh Rashid Shafiq","Candidate",1,FALSE
"Abdul_Matin_Khan","Abdul Matin Khan","Candidate",1,FALSE
"Abdul_Qayyum","Abdul Qayyum","Candidate",5,TRUE
"Abdul_Rasheed_Nasir","Abdul Rasheed Nasir","Candidate",1,FALSE
"Abdul_Rashid","Abdul Rashid","Candidate",2,TRUE
"Abdul_Rauf","Abdul Rauf","Candidate",5,TRUE
"Abdul_Rehman_Khan_Yousufzai","Abdul Rehman Khan Yousufzai","Candidate",1,FALSE
"Abdur_Rauf","Abdur Rauf","Candidate",1,FALSE
"Ahmad_Ali","Ahmad Ali","Candidate",1,FALSE
"Ahmad_Khan","Ahmad Khan","Candidate",2,TRUE
"Ahmadullah","Ahmadullah","Candidate",1,FALSE
"Ahmed_Zaman","Ahmed Zaman","Candidate",1,FALSE
"Aimal_Wali_Khan","Aimal Wali Khan","Candidate",1,FALSE
"Alhaj_Ghulam_Ahmad_Bilour","Alhaj Ghulam Ahmad Bilour","Candidate",1,FALSE
"Aman_Masood","Aman Masood","Candidate",1,FALSE
"Ameer_Haider_Azam_Khan","Ameer Haider Azam Khan","Candidate",1,FALSE
"Amir_Haider_Khan","Amir Haider Khan","Candidate",1,FALSE
"Amir_Nawab","Amir Nawab","Candidate",1,FALSE
"Anwar_Zaib","Anwar Zaib","Candidate",1,FALSE
"Arbab_Inam_Ullah_Khan","Arbab Inam Ullah Khan","Candidate",1,FALSE
"Arbab_Mohammad_Ayub_Jan","Arbab Mohammad Ayub Jan","Candidate",1,FALSE
"Arbab_Muhammad_Zahir_Khan","Arbab Muhammad Zahir Khan","Candidate",1,FALSE
"Arbab_Najeeb_Ullah_Khan","Arbab Najeeb Ullah Khan","Candidate",1,FALSE
"Arbab_Najeeb_Ullah_Khan_Khalil","Arbab Najeeb Ullah Khan Khalil","Candidate",1,FALSE
"Arshad_Mansoor_Shah","Arshad Mansoor Shah","Candidate",1,FALSE
"Arshad_Sohail","Arshad Sohail","Candidate",1,FALSE
"Asfandiyar_Wali_Khan","Asfandiyar Wali Khan","Candidate",1,FALSE
"Asfandyar_Wali_Khan","Asfandyar Wali Khan","Candidate",1,FALSE
"Asghar_Khan","Asghar Khan","Candidate",2,TRUE
"Ashraf_Ullah","Ashraf Ullah","Candidate",1,FALSE
"Asif_Ali","Asif Ali","Candidate",2,TRUE
"Aurang_Zeb_Khan","Aurang Zeb Khan","Candidate",3,TRUE
"Aziz_Ur_Rehman","Aziz Ur Rehman","Candidate",4,TRUE
"Bahadar_Khan","Bahadar Khan","Candidate",1,FALSE
"Bashir_Khan_Umerzai","Bashir Khan Umerzai","Candidate",1,FALSE
"Bismillah_Jan","Bismillah Jan","Candidate",2,TRUE
"Bismillah_Jan_Luni","Bismillah Jan Luni","Candidate",1,FALSE
"Ch__Ghulam_Mustafa","Ch. Ghulam Mustafa","Candidate",1,FALSE
"Dost_Muhammad","Dost Muhammad","Candidate",1,FALSE
"Doulat_Ali","Doulat Ali","Candidate",1,FALSE
"Dr_Sherbaz_Khan","Dr Sherbaz Khan","Candidate",1,FALSE
"Engineer_Noor_Ahmed_Khan","Engineer Noor Ahmed Khan","Candidate",1,FALSE
"Faisal_Imran_Khan_Niazi","Faisal Imran Khan Niazi","Candidate",1,FALSE
"Farid_Ullah_Dumar","Farid Ullah Dumar","Candidate",1,FALSE
"Gul_Afzal","Gul Afzal","Candidate",1,FALSE
"Habib_Ullah_Khan","Habib Ullah Khan","Candidate",2,TRUE
"Hafiz_Zardullah_Khan_Hassan_Zai_","Hafiz Zardullah Khan Hassan Zai.","Candidate",1,FALSE
