"Candidate_ID","Candidate_Name","Num_Parties"
"Hameed_Hussain","Hameed Hussain",2
"Hamza","Hamza",2
"Hassan_Sardar","Hassan Sardar",2
"Hizbullah","Hizbullah",2
"Iftikhar_Ahmed","Iftikhar Ahmed",2
"Imdad_Ali","Imdad Ali",2
"Imran_Ali","Imran Ali",2
"Imtiaz_Hussain","Imtiaz Hussain",2
"Irfan_Ahmed","Irfan Ahmed",2
"Irfan_Ullah","Irfan Ullah",2
"Jalal_Khan_Khattak","Jalal Khan Khattak",2
"Jamal_Khan","Jamal Khan",2
"Javed_Iqbal","Javed Iqbal",2
"Jehangir_Khan","Jehangir Khan",2
"Kamal_Shah","Kamal Shah",2
"Karim_Ali_Jatoi","Karim Ali Jatoi",2
"Khalid_Ahmed_Khan_Lund","Khalid Ahmed Khan Lund",2
"Khalid_Mahmood","Khalid Mahmood",2
"Khalil_Ur_Rehman","Khalil Ur Rehman",2
"Khurram_Shahzad","Khurram Shahzad",2
"Liaqat_Baloch","Liaqat Baloch",2
"Mahmood_Ul_Hassan","Mahmood Ul Hassan",2
"Majid_Khan","Majid Khan",2
"Makhdoom_Shah_Mehmood_Qureshi","Makhdoom Shah Mehmood Qureshi",2
"Malik_Karamat_Ali_Khokhar","Malik Karamat Ali Khokhar",2
"Malik_Matloob_Ali_Awan","Malik Matloob Ali Awan",2
"Malik_Sikandar_Khan","Malik Sikandar Khan",2
"Malik_Sohail_Khan","Malik Sohail Khan",2
"Malik_Tariq_Mehmood","Malik Tariq Mehmood",2
"Maqsood_Ahmed","Maqsood Ahmed",2
"Maulana_Fazal_Ur_Rehman","Maulana Fazal Ur Rehman",2
"Maulana_Mian_Hussain_Jalali","Maulana Mian Hussain Jalali",2
"Mian_Muhammad_Asif","Mian Muhammad Asif",2
"Mian_Muhammad_Rasheed","Mian Muhammad Rasheed",2
"Mian_Riaz_Hussain_Pirzada","Mian Riaz Hussain Pirzada",2
"Mian_Tariq_Mehmood","Mian Tariq Mehmood",2
"Mir_Ali_Nawaz_Talpur","Mir Ali Nawaz Talpur",2
"Moulana_Abdullah_Pahore","Moulana Abdullah Pahore",2
"Muhammad_Abbas","Muhammad Abbas",2
"Muhammad_Afzal_Sindhu","Muhammad Afzal Sindhu",2
"Muhammad_Alam","Muhammad Alam",2
"Muhammad_Ali_Rashid","Muhammad Ali Rashid",2
"Muhammad_Amin","Muhammad Amin",2
"Muhammad_Ashraf","Muhammad Ashraf",2
"Muhammad_Ayoub","Muhammad Ayoub",2
"Muhammad_Azam","Muhammad Azam",2
"Muhammad_Azhar","Muhammad Azhar",2
"Muhammad_Bilal","Muhammad Bilal",2
"Muhammad_Faisal","Muhammad Faisal",2
"Muhammad_Hanif","Muhammad Hanif",2
"Muhammad_Haris","Muhammad Haris",2
"Muhammad_Hassan","Muhammad Hassan",2
"Muhammad_Ibrahim","Muhammad Ibrahim",2
"Muhammad_Ijaz","Muhammad Ijaz",2
