"Candidate_ID","Eccentricity"
"Ch_Shoukat_Ali_Cabail",1
"Akbar_Dars",1
"Mohammad_Hussain",1
"Muhammad_Asghar_Dars",1
"Gohar_Ali_Khan",1
"Meher_Muhammad_Jhangir_Advocate",1
"Tauseef_Ur_Rehman_Bhatti_Advocate",1
"Mahmood_Ahmad_Khan_Qalandar_",1
"Mehmood_Qalandar",1
"Alamgir_Khan",1
"Ihsan_Ullah_Khan_Mahsood",1
"Muhammad_Sultan",1
"Raja_Muhammad_Ashraf",1
"Kaleem_Ullah",1
"Sardar_Taimoor",1
"Ahmad_Nawaz_Khan",1
"Prof_javeed_Sandhu",1
"Daud_Ahmed_Fakhri",1
"Farzana_Parveen",1
"Jahangir_Hussain_Jafari",1
"Muhammad_Bilal_Hussain",1
"Muhammad_Zahid_Bashir",1
"Rizwan_Ahmed_Khan",1
"Sumbul_Akhtar",1
"Syed_Muhammad_Ishrat_Ghazali",1
"Imtiaz_Khan",1
"Mubeen_Malik",1
"Shabbir_Ahmed_Anjum",1
"Shafaqaat_Ahmad",1
"Taimoor_Ahmad_Yar_Khan",1
"Tayyaba_Mubarak",1
"Anwar_Hussain",1
"Shahid_Iqbal",1
"Syed_Rashid_Hussain_Shah",1
"Aijaz_Ali_Khokhar",1
"Rahim_Bakhsh",1
"Shahid_Anjum",1
"Abdul_Samad_Khan",1
"Hazrat_Umar",1
"Irfan_Karim",1
"Muhammad_Arif_Khan",1
"Muhammad_Jibran",1
"Sara_Ashfaq",1
"Shahbaz_Ali",1
"Yasir_Ali",1
"Aamir_Khan",1
"Abdullah_Abbasi",1
"Afzal_Hayat",1
"Fateh_Ali_Muawiya",1
"Fehmeed_Nawaz",1
"Hafiz_Allah_Ditta",1
"Khurram_Shehzad",1
"Luqman_Khan",1
"Muhammad_Arsalan_Khalid",1
"Muhammad_Aslam_Iqbal",1
"Muhammad_Muzammal_Nazir",1
"Rustam_Khan",1
"Wajid_Kiyani",1
"Waqas_Qudoos",1
"Maazullah_Khan",1
"Muhammad_Sherwan_Amirzada",1
"Ibtsaam_Illahi_Zahir",1
"Sardar_Rafiq_Ar_Sanjrani",1
"Ameer_Ali_Pate_Wale",1
"Muhammad_Aslam_Khan",1
"Ghulam_Fareed_Koreja",1
"Khawja_Ghulam_Fareed_Koreja",1
"Muhammad_Wazeer_Khan_Dundam_Advocate",1
"Ahmad_Kamran_Thaeem_Ansari",1
"Allah_Nawaz",1
"Majeeda_Maria",1
"Malik_Muhammad_Tufail",1
"Syed_Ali_Raza",1
"Zawar_Hussain",1
"Ali_Afsar_Tanoli",1
"Fakhar_e_Alam_Urf_Hazrat",1
"Fida_Hussain",1
"Major_Rtd_Jameel_Ehsan_Kiyani",1
"Mohammad_Ashfaque",1
"Sardar_Haider_Zaman",1
"Sardar_Muhammad_Iqbal_Khan",1
"m_Raza",1
"Moulana_Abdul_Quddoos",1
"Mukhtar_Ali",1
"Nasar_Ullah_Khan",1
"Muhammad_Kashif",4
"Ghulam_Haider",4
"Sardar_Ghulam_Mustafa_Khaskheli",4
"Syed_Mukhtar_Hussain_Shah",4
"Waheed_Ahmad",4
"Sheikh_Rasheed_Ahmed",4
"Abdul_Qayyum",4
"Abdul_Rashid",4
"Aurang_Zeb_Khan",4
"Aziz_Ur_Rehman",4
"Imtiaz_Hussain",4
"Majid_Khan",4
"Muhammad_Ishaq",4
"Muhammad_Ismail",4
"Muhammad_Saleem_Khan",4
"Pir_Dilawar_Shah",4
"Saif_Ullah",4
"Tahir_Iqbal",4
"Abdul_Qadir",4
"Malik_Tariq_Mehmood",4
"Ghulam_Abbas",4
"Kamal_Shah",4
"Usman_Ghani",4
"Muhammad_Ramzan",4
"Abdul_Jabbar",4
"Sajid_Ali",4
"Karim_Ali_Jatoi",4
"Syed_Ghous_Ali_Shah",4
"Muhammad_Saddiq",4
"Muhammad_Zahid",4
"Abdul_Aleem_Khan",4
"Gul_Asghar_Khan",4
"Jahangir_Khan_Tareen",4
"Muhammad_Azhar",4
