"Candidate_ID","Closeness"
"Muhammad_Aslam_Iqbal",1
"Muhammad_Muzammal_Nazir",1
"Rustam_Khan",1
"Wajid_Kiyani",1
"Waqas_Qudoos",1
"Maazullah_Khan",1
"Muhammad_Sherwan_Amirzada",1
"Ibtsaam_Illahi_Zahir",1
"Sardar_Rafiq_Ar_Sanjrani",1
"Ameer_Ali_Pate_Wale",1
"Muhammad_Aslam_Khan",1
"Ghulam_Fareed_Koreja",1
"Khawja_Ghulam_Fareed_Koreja",1
"Muhammad_Wazeer_Khan_Dundam_Advocate",1
"Ahmad_Kamran_Thaeem_Ansari",1
"Allah_Nawaz",1
"Majeeda_Maria",1
"Malik_Muhammad_Tufail",1
"Syed_Ali_Raza",1
"Zawar_Hussain",1
"Ali_Afsar_Tanoli",1
"Fakhar_e_Alam_Urf_Hazrat",1
"Fida_Hussain",1
"Major_Rtd_Jameel_Ehsan_Kiyani",1
"Mohammad_Ashfaque",1
"Sardar_Haider_Zaman",1
"Sardar_Muhammad_Iqbal_Khan",1
"m_Raza",1
"Moulana_Abdul_Quddoos",1
"Mukhtar_Ali",1
"Nasar_Ullah_Khan",1
"Ghulam_Qadir",0.587586770110249
"Abdul_Rehman",0.575063274277341
"Muhammad_Ramzan",0.562109375
"Muhammad_Afzal",0.560722171710612
"Sher_Akbar_Khan",0.558762619725602
"Syed_Javed_Ali_Shah",0.557607853267889
"Ghulam_Rasool",0.55516975308642
"Liaqat_Ali",0.554100885637274
"Abdul_Hakeem_Baloch",0.55317785750897
"Anwar_Ul_Haq_Chaudhary",0.55317785750897
"Asghar_Ali_Shah",0.55317785750897
"Jalal_Khan_Khattak",0.55317785750897
"Sardar_Muhammad_Mushtaq_Khan",0.55317785750897
"Syed_Fakhar_Imam",0.55317785750897
"Abdul_Waheed_Khan",0.550286806883365
"Syed_Inayat_Ali_Shah",0.549236641221374
"Abdul_Khaliq",0.545764854614412
"Abdul_Qayyum_Khan_Jatoi",0.544525731584258
"Amanullah",0.544525731584258
"Barrister_Gohar_Ali_Khan",0.544525731584258
"Dost_Muhammad_Khan",0.544525731584258
"Hassan_Sardar",0.544525731584258
"Makhdoom_Shah_Mehmood_Qureshi",0.544525731584258
"Malik_Karamat_Ali_Khokhar",0.544525731584258
"Muhammad_Afzal_Sindhu",0.544525731584258
"Rana_Muhammad_Faraz_Noon",0.544525731584258
"Salim_Rehman",0.544525731584258
"Sardar_Mansoor_Hayat_Tamman",0.544525731584258
"Abdul_Baqi",0.542677561282212
"Muhammad_Ali_Rashid",0.542677561282212
"Muhammad_Malik",0.542677561282212
"Munir_Ahmad",0.542677561282212
"Nabeel_Ahmed_Gabol",0.542677561282212
"Raja_Imran_Ashraf",0.542677561282212
"Riaz_Ahmed",0.542677561282212
"Sohail_Mansoor_Khawaja",0.542677561282212
"Sajid_Ali",0.542336683417085
"Imran_Khan",0.541452401856265
"Muhammad_Yousaf",0.539355322338831
"Muhammad_Riaz",0.536406560636183
"Muhammad_Ishaq",0.535873882820258
"Amanullah_Khan",0.535275883446993
"Haider_Ali_Khan",0.535275883446993
"Muhammad_Zia_Ul_Haq",0.535275883446993
"Noor_Alam_Khan",0.535275883446993
"Abdul_Qadir",0.533423946620536
"Muhammad_Naeem",0.532765642354683
"Zulfiqar_Ali_Shah",0.532765642354683
"Ahmad_Raza_Maneka",0.531846741406924
"Ayaz_Amir",0.531846741406924
"Malik_Sohail_Khan",0.531846741406924
"Omar_Ayub_Khan",0.531846741406924
"Aijaz_Ali",0.531519330214233
"Muhammad_Tahir",0.531257691361063
"Abdul_Bari",0.531061631196949
"Ali_Asghar_Rind",0.5309963099631
"Mian_Tariq_Mehmood",0.5309963099631
"Muhammad_Yaqoob",0.5309963099631
"Syed_Sajjad_Hussain_Shah",0.5309963099631
"Muhammad_Anwar",0.529693251533742
"Muhammad_Rafique",0.527944233826587
"Aziz_Ur_Rehman",0.526399219607365
"Ehsanullah_Reki",0.526270876508594
"Khalid_Ahmed_Khan_Lund",0.526270876508594
"Mustafa_Nawaz_Khokhar",0.526270876508594
"Ghulam_Abbas",0.525630098624132
"Saif_Ullah",0.525438169425511
"Abdul_Wahab",0.525118598710619
"Khurram_Shahzad",0.525118598710619
"Muhammad_Abbas",0.525118598710619
"Rashid_Ali",0.525118598710619
"Zaka_Ullah",0.525118598710619
"Usman_Ghani",0.522892441860465
"Muhammad_Iqbal_Khan",0.522765802857835
"Muhammad_Nawaz",0.522765802857835
"Safdar_Ali",0.522765802857835
"Abdullah",0.522702506356702
"Niaz_Muhammad",0.521754894851342
"Sardar_Khan",0.521691842900302
"Sajjad_Ahmad",0.521691842900302
"Muhammad_Aslam",0.521439787413939
"Sardar_Meer_Badshah_Khan_Qaisrani",0.521187975371242
"Muhammad_Ibrahim",0.521125060357315
"Saif_Ur_Rehman",0.521125060357315
"Saleh_Muhammad",0.521125060357315
"Usman_Ali",0.521125060357315
"Umar_Farooq",0.519244647582391
"Muhammad_Rafiq",0.518745493871665
"Muhammad_Zaman",0.518309520950894
"Saeed_Ur_Rehman",0.517377756471716
"Nasir_Khan",0.51719180543908
"Irfan_Ahmed",0.516017212526895
"Atta_Ullah_Khan",0.51484794275492
"Pir_Dilawar_Shah",0.513867396738483
"Hamza",0.513745091038915
"Sohail_Ahmad",0.513745091038915
"Muhammad_Asif",0.512099644128114
"Muhammad_Haris",0.511856770215793
"Muhammad_Shafique",0.511735419630156
"Atta_Ur_Rehman",0.511250592136428
"Nisar_Ahmad",0.510766682442026
"Muhammad_Younas",0.510464703795672
"Aftab_Ahmad_Khan_Sherpao",0.510223377851318
"Zafar_Iqbal",0.510102800425381
"Muhammad_Tahir_Khan",0.509861816463919
"Syed_Faisal_Imam",0.509681227863046
"Kamal_Shah",0.509560906515581
"Muhammad_Hanif",0.509560906515581
"Muhammad_Amin",0.509500767142689
"Haji_Muhammad_Gulzar_Awan",0.50926035153946
"Aarif_Aziz_Sheikh",0.509080188679245
"Abdul_Akbar_Khan",0.509080188679245
"Abdul_Aziz_Memon",0.509080188679245
"Abdul_Berr",0.509080188679245
"Abdul_Ghafoor_Chaudhary",0.509080188679245
"Abdul_Habib_Memon",0.509080188679245
"Abdul_Qadir_Patel",0.509080188679245
"Abdul_Qudoos_Awan",0.509080188679245
"Abdul_Rauf_Advocate",0.509080188679245
"Abdul_Razzaq_Raja",0.509080188679245
"Abdul_Sattar_Bachani",0.509080188679245
"Abdul_Wahab_Barakzai",0.509080188679245
"Abdul_Waheed",0.509080188679245
"Abdullah_Bloch",0.509080188679245
"Abid_Hussain_Sathi",0.509080188679245
"Abid_Ullah_Yousafzai",0.509080188679245
"Abrar_Azam",0.509080188679245
"Adeel_Ghulam_Mohy_Ud_Din",0.509080188679245
"Aezid_Mahmood_Khan_",0.509080188679245
"Aftab_Alam",0.509080188679245
"Aftab_Shahban_Mirani",0.509080188679245
"Agha_Shafqatullah",0.509080188679245
"Ahmad_Hassan",0.509080188679245
"Ahmad_Mustafa",0.509080188679245
"Ahmad_Shah_Khan",0.509080188679245
"Ahmed_Ali_Khosa",0.509080188679245
"Ahmed_Jan",0.509080188679245
"Aijaz_Ahmed_Halepoto",0.509080188679245
"Aijaz_Hussain_Jakhrani",0.509080188679245
"Aitzaz_Rasheed",0.509080188679245
"Ajmal_Khan",0.509080188679245
"Akhtar_Javid_Khan",0.509080188679245
"Alam_Zaib_Khan",0.509080188679245
"Alamzaib_Umerzai",0.509080188679245
"Alhaj_Muhammad_Asad_Bhatti",0.509080188679245
"Ali-Uz-Zaman",0.509080188679245
"Ali_Ahmed",0.509080188679245
"Ali_Gohar_Khan_Mahar",0.509080188679245
"Ali_Jan_Mazari",0.509080188679245
"Ali_Javed",0.509080188679245
"Ali_Muhammad_Khan_Mahar",0.509080188679245
"Ali_Muhammad_Sahito",0.509080188679245
"Ali_Muhammad_Sehto",0.509080188679245
"Ali_Musa_Gilani",0.509080188679245
"Allah_Yar",0.509080188679245
"Altaf_Hussain_Virk",0.509080188679245
"Aman_Ullah_Wald_Gul_Azad",0.509080188679245
"Amjad_Ali_Jutt",0.509080188679245
"Amjad_Yaqoub",0.509080188679245
"Anwar-Ul-Haq_Ramay",0.509080188679245
"Anwar_Saifullah_Khan",0.509080188679245
"Arbab_Alamgir_Khan",0.509080188679245
"Arbab_Wazir_Ahmed_Memon",0.509080188679245
