"Candidate_ID","Degree"
"Ghulam_Qadir",1604
"Abdul_Rehman",1341
"Sher_Akbar_Khan",1339
"Syed_Javed_Ali_Shah",1311
"Abdul_Hakeem_Baloch",1269
"Anwar_Ul_Haq_Chaudhary",1269
"Asghar_Ali_Shah",1269
"Jalal_Khan_Khattak",1269
"Sardar_Muhammad_Mushtaq_Khan",1269
"Syed_Fakhar_Imam",1269
"Liaqat_Ali",1258
"Abdul_Waheed_Khan",1244
"Syed_Inayat_Ali_Shah",1223
"Muhammad_Ramzan",1189
"Muhammad_Afzal",1189
"Abdul_Qayyum_Khan_Jatoi",1182
"Amanullah",1182
"Barrister_Gohar_Ali_Khan",1182
"Dost_Muhammad_Khan",1182
"Hassan_Sardar",1182
"Makhdoom_Shah_Mehmood_Qureshi",1182
"Malik_Karamat_Ali_Khokhar",1182
"Muhammad_Afzal_Sindhu",1182
"Rana_Muhammad_Faraz_Noon",1182
"Salim_Rehman",1182
"Sardar_Mansoor_Hayat_Tamman",1182
"Ghulam_Rasool",1177
"Sajid_Ali",1105
"Abdul_Baqi",1105
"Muhammad_Ali_Rashid",1105
"Muhammad_Malik",1105
"Munir_Ahmad",1105
"Nabeel_Ahmed_Gabol",1105
"Raja_Imran_Ashraf",1105
"Riaz_Ahmed",1105
"Sohail_Mansoor_Khawaja",1105
"Imran_Khan",1088
"Ahmad_Raza_Maneka",1050
"Ayaz_Amir",1050
"Malik_Sohail_Khan",1050
"Omar_Ayub_Khan",1050
"Muhammad_Riaz",1024
"Aziz_Ur_Rehman",1010
"Abdul_Khaliq",988
"Abdul_Qadir",977
"Ali_Asghar_Rind",965
"Mian_Tariq_Mehmood",965
"Muhammad_Yaqoob",965
"Syed_Sajjad_Hussain_Shah",965
"Muhammad_Ishaq",952
"Ehsanullah_Reki",951
"Khalid_Ahmed_Khan_Lund",951
"Mustafa_Nawaz_Khokhar",951
"Amanullah_Khan",933
"Haider_Ali_Khan",933
"Muhammad_Zia_Ul_Haq",933
"Noor_Alam_Khan",933
"Muhammad_Tahir",932
"Muhammad_Naeem",930
"Zulfiqar_Ali_Shah",930
"Ghulam_Abbas",921
"Abdul_Wahab",913
"Khurram_Shahzad",913
"Muhammad_Abbas",913
"Rashid_Ali",913
"Zaka_Ullah",913
"Usman_Ghani",887
"Muhammad_Iqbal_Khan",886
"Muhammad_Nawaz",886
"Safdar_Ali",886
"Muhammad_Yousaf",875
"Sardar_Khan",866
"Pir_Dilawar_Shah",855
"Abdul_Bari",850
"Aijaz_Ali",849
"Muhammad_Anwar",806
"Daniyal_Aziz",802
"Ghulam_Bibi_Bharwana",802
"Mian_Riaz_Hussain_Pirzada",802
"Muhammad_Mehboob_Sultan",802
"Naseem_Muhammad_Khan",802
"Rao_Muhammad_Ajmal_Khan",802
"Sardar_Awais_Ahmad_Khan_Leghari",802
"Tahir_Bashir_Cheema",802
"Sajjad_Ahmad",796
"Sardar_Meer_Badshah_Khan_Qaisrani",792
"Irfan_Ahmed",788
"Muhammad_Younas",777
"Saif_Ullah",775
"Muhammad_Zaman",775
"Atta_Ullah_Khan",774
"Muhammad_Rafique",772
"Saeed_Ur_Rehman",755
"Abdullah",744
"Dawa_Khan",728
"Ghulam_Sarwar_Khan",728
"Muhammad_Nawaz_Khan",728
"Sardar_Muhammad_Yaqoob",728
"Nisar_Ahmad",727
"Aftab_Ahmad_Khan_Sherpao",721
"Syed_Faisal_Imam",719
"Muhammad_Hanif",718
"Kamal_Shah",717
"Nasir_Khan",715
"Haji_Muhammad_Gulzar_Awan",712
"Muhammad_Tahir_Khan",710
"Aarif_Aziz_Sheikh",709
"Abdul_Akbar_Khan",709
"Abdul_Aziz_Memon",709
"Abdul_Berr",709
"Abdul_Ghafoor_Chaudhary",709
"Abdul_Habib_Memon",709
"Abdul_Qadir_Patel",709
"Abdul_Qudoos_Awan",709
"Abdul_Rauf_Advocate",709
"Abdul_Razzaq_Raja",709
"Abdul_Sattar_Bachani",709
"Abdul_Wahab_Barakzai",709
"Abdul_Waheed",709
"Abdullah_Bloch",709
"Abid_Hussain_Sathi",709
"Abid_Ullah_Yousafzai",709
"Abrar_Azam",709
"Adeel_Ghulam_Mohy_Ud_Din",709
"Aezid_Mahmood_Khan_",709
"Aftab_Alam",709
"Aftab_Shahban_Mirani",709
"Agha_Shafqatullah",709
"Ahmad_Hassan",709
"Ahmad_Mustafa",709
"Ahmad_Shah_Khan",709
"Ahmed_Ali_Khosa",709
"Ahmed_Jan",709
"Aijaz_Ahmed_Halepoto",709
"Aijaz_Hussain_Jakhrani",709
"Aitzaz_Rasheed",709
"Ajmal_Khan",709
"Akhtar_Javid_Khan",709
"Alam_Zaib_Khan",709
"Alamzaib_Umerzai",709
"Alhaj_Muhammad_Asad_Bhatti",709
"Ali-Uz-Zaman",709
"Ali_Ahmed",709
"Ali_Gohar_Khan_Mahar",709
"Ali_Jan_Mazari",709
"Ali_Javed",709
"Ali_Muhammad_Khan_Mahar",709
"Ali_Muhammad_Sahito",709
"Ali_Muhammad_Sehto",709
"Ali_Musa_Gilani",709
"Allah_Yar",709
"Altaf_Hussain_Virk",709
"Aman_Ullah_Wald_Gul_Azad",709
"Amjad_Ali_Jutt",709
"Amjad_Yaqoub",709
"Anwar-Ul-Haq_Ramay",709
"Anwar_Saifullah_Khan",709
"Arbab_Alamgir_Khan",709
"Arbab_Wazir_Ahmed_Memon",709
