"Candidate_ID","Betweenness"
"Sardar_Khan",26035.670537688
"Abdul_Sattar",25895.4660854264
"Daniyal_Aziz",25248.0984078244
"Ghulam_Bibi_Bharwana",25248.0984078244
"Mian_Riaz_Hussain_Pirzada",25248.0984078244
"Muhammad_Mehboob_Sultan",25248.0984078244
"Naseem_Muhammad_Khan",25248.0984078244
"Rao_Muhammad_Ajmal_Khan",25248.0984078244
"Sardar_Awais_Ahmad_Khan_Leghari",25248.0984078244
"Tahir_Bashir_Cheema",25248.0984078244
"Saeed_Ahmed",24821.3674529328
"Sahibzada_Muhammad_Hamid_Raza",24750.3943881212
"Abdul_Ghafoor",24532.8271086808
"Abdul_Wahab",24097.8735206369
"Khurram_Shahzad",24097.8735206369
"Muhammad_Abbas",24097.8735206369
"Rashid_Ali",24097.8735206369
"Zaka_Ullah",24097.8735206369
"Muhammad_Azam",23597.7836540238
"Aftab_Ahmad_Khan_Sherpao",23502.0108333736
"Mian_Muhammad_Rasheed",22310.8933760058
"Muhammad_Amin",22231.3340886885
"Noor_Muhammad",22206.4495253508
"Gul_Asghar_Khan",21985.7718369238
"Mir_Ali_Nawaz_Talpur",21560
"Muhammad_Sher_Khan",21560
"Muhammad_Ijaz_Ul_Haq",21560
"Atta_Ullah_Khan",20907.9514090669
"Malik_Tariq_Mehmood",20612.1335545623
"Babar_Ali",18693.6797622919
"Muhammad_Qasim",18672.735941157
"Muhammad_Hassan",17886.6959742818
"Iftikhar_Ahmed",17829.9266385296
"Abdul_Rasheed",17612.5061351515
"Abdul_Wajid",17371.2546165338
"Muhammad_Iqbal",17371.2546165338
"Muhammad_Tahir_Makhdoom",17252
"Syed_Ali_Hussain",16406.683075977
"Naveed_Anjum_Khan",15679.413640312
"Ajab_Khan",15548.1495971091
"Abdul_Hameed_Khan",15161.9449614125
"Muhammad_Javed",15161.9449614125
"Nazir_Ahmed",15161.9449614125
"Kamal_Shah",15153.7775750869
"Muhammad_Jameel",14978.3849062901
"Hizbullah",14575.039679462
"Khalid_Mahmood",14392.9035702335
"Muhammad_Nasrullah",14392.9035702335
"Syed_Faisal_Imam",14327.1699219604
"Muhammad_Saeed",14205.7651229831
"Muhammad_Arshad",14041.8867308181
"Shah_Abdul_Aziz",14038.6740944877
"Muhammad_Imran",13773.3131360278
"Irfan_Ullah",13677.0626279324
"Muhammad_Ijaz",13677.0626279324
"Muhammad_Mushtaq",13677.0626279324
"Muhammad_Zubair",13677.0626279324
"Hamayun_Akhtar_Khan",13571.9268458596
"Majid_Khan",13532.1510977851
"Muhammad_Saleem_Khan",13532.1510977851
"Deedar_Ali",13514.9196423897
"Muhammad_Shahid",12992.8602299928
"Muhammad_Yaseen",12992.8602299928
"Saleem_Abbas",12942
"Haji_Muhammad_Gulzar_Awan",12942
"Muhammad_Latif",12942
"Gul_Hassan",11777.7118006124
"Muhammad_Owais_Siddiqui",11350.2168495511
"Muhammad_Bilal",11267.7665735842
"Abdul_Latif",10778.3100495334
"Muhammad_Alam",10778.3100495334
"Muhammad_Hanif",10285.4545388397
"Abdul_Majeed",9912.40362901741
"Muhammad_Azhar",9277.38567883021
"Muhammad_Saddiq",8630.00000000001
"Abdul_Shakoor",8630.00000000001
"Fida_Muhammad",8629.99999999999
"Muhammad_Ayoub",8442.62834664653
"Abdul_Razzaque",7507.06864068175
