"Party","Degree","Rank","Measure"
"TLP",33,1,"Degree"
"MQM",31,2,"Degree"
"PPP",29,3,"Degree"
"JI-P",28,4,"Degree"
"PMML",27,5,"Degree"
"JUI-F",26,6,"Degree"
"PTI",24,7,"Degree"
"JI",22,8,"Degree"
"PML-N",22,9,"Degree"
"JUI",19,10,"Degree"
