"Party","Closeness","Rank","Measure"
"PMML",0.469945355191257,1,"Closeness"
"JI",0.467391304347826,2,"Closeness"
"PRHP",0.452631578947368,3,"Closeness"
"MDM",0.450261780104712,4,"Closeness"
"TTP",0.450261780104712,5,"Closeness"
"PST",0.447916666666667,6,"Closeness"
"TLP",0.44559585492228,7,"Closeness"
"PTI",0.441025641025641,8,"Closeness"
"PKMAP",0.438775510204082,9,"Closeness"
"MQM",0.436548223350254,10,"Closeness"
