"Party","Closeness","Rank","Measure"
"PMML",0.469945355191257,1,"Closeness"
"JI",0.467391304347826,2,"Closeness"
"PRHP",0.452631578947368,3,"Closeness"
"MDM",0.450261780104712,4,"Closeness"
"TTP",0.450261780104712,5,"Closeness"
